,date,compound,sum,samp
1,10/3/2017,co2,69,276
2,10/3/2017,n2o,69,276
3,10/17/2017,co2,92,368
4,10/17/2017,n2o,92,368
5,10/31/2017,co2,92,368
6,10/31/2017,n2o,92,368
7,11/14/2017,co2,92,368
8,11/14/2017,n2o,92,368
9,11/28/2017,co2,69,276
10,11/28/2017,n2o,69,276
11,12/12/2017,co2,92,368
12,12/12/2017,n2o,92,368
13,1/2/2018,co2,92,368
14,1/2/2018,n2o,92,368
15,1/18/2018,co2,92,368
16,1/18/2018,n2o,92,368
17,1/31/2018,co2,92,368
18,1/31/2018,n2o,92,368
19,2/21/2018,co2,92,368
20,2/21/2018,n2o,92,368
21,3/7/2018,co2,92,368
22,3/7/2018,n2o,92,368
23,3/21/2018,co2,69,276
24,3/21/2018,n2o,69,276
25,4/4/2018,co2,91,364
26,4/4/2018,n2o,91,364
27,4/18/2018,co2,91,364
28,4/18/2018,n2o,92,368
29,5/2/2018,co2,92,368
30,5/2/2018,n2o,92,368
31,5/16/2018,co2,90,360
32,5/16/2018,n2o,90,360
33,5/30/2018,co2,88,352
34,5/30/2018,n2o,88,352
35,6/13/2018,co2,88,352
36,6/13/2018,n2o,88,352
37,6/27/2018,co2,67,268
38,6/27/2018,n2o,67,268
39,10/31/2018,co2,69,276
40,10/31/2018,n2o,69,276
41,11/14/2018,co2,92,368
42,11/14/2018,n2o,92,368
43,11/28/2018,co2,92,368
44,11/28/2018,n2o,92,368
45,12/12/2018,co2,92,368
46,12/12/2018,n2o,92,368
47,1/9/2019,co2,92,368
48,1/9/2019,n2o,92,368
49,1/23/2019,co2,92,368
50,1/23/2019,n2o,92,368
51,2/6/2019,co2,92,368
52,2/6/2019,n2o,92,368
53,2/20/2019,co2,91,364
54,2/20/2019,n2o,91,364
55,3/6/2019,co2,92,368
56,3/6/2019,n2o,92,368
57,3/20/2019,co2,92,368
58,3/20/2019,n2o,92,368
,,,,20308
