,DATE,ANALYTE,# SAMPLES,"# ADDITIONAL (QC, Calibration, Standards)",
1,3/13/2018,nh3,36,12,
2,3/13/2018,no3,36,12,
3,3/27/2018,nh3,41,12,
4,3/27/2018,no3,41,12,
5,4/10/2018,nh3,45,12,
6,4/10/2018,no3,45,12,
7,4/24/2018,nh3,43,12,
8,4/24/2018,no3,42,12,
9,5/8/2018,nh3,45,12,
10,5/8/2018,no3,45,12,
11,5/22/2018,nh3,48,12,
12,5/22/2018,no3,45,12,
13,6/5/2018,nh3,38,12,
14,6/5/2018,no3,38,12,
15,6/19/2018,nh3,26,12,
16,6/19/2018,no3,26,12,
17,7/3/2018,nh3,14,12,
18,7/3/2018,no3,14,12,
19,1/3/2019,nh3,45,12,
20,1/3/2019,no3,45,12,
21,1/15/2019,nh3,44,12,
22,1/15/2019,no3,44,12,
23,1/29/2019,nh3,40,12,
24,1/29/2019,no3,40,12,
25,2/12/2019,nh3,42,12,
26,2/12/2019,no3,42,12,
27,3/4/2019,nh3,45,12,
28,3/4/2019,no3,45,12,
29,3/12/2019,nh3,48,12,
30,3/12/2019,no3,48,12,
,,TOTALS,1196,360,1556
