,lys_num,field,plot,no3,nh4
1,1,F1,N0,0,0.2261
2,2,F1,N25,NA,NA
3,3,F1,N50,NA,NA
4,4,F1,N75,4.676261472,0.2731
5,5,F1,N100,0.028669046,0.3436
6,6,F1,CV-1,NA,NA
7,7,F1,CV-2,0.565487239,0.4292
8,8,F1,CV-3,NA,NA
9,9,F1,CV-4,12.72492699,0.3663
10,10,F1,PA-1,NA,NA
11,11,F1,PA-2,1.967829693,0.3394
12,12,F1,PA-3,1.810536607,0.3494
13,13,F1,PA-4,4.271822993,0.3921
14,14,F2,N0,0,0.4468
15,15,F2,N25,0,0.1474
16,16,F2,N50,0,0.1354
17,17,F2,N75,0,0.208
18,18,F2,N100,0.218765687,0.2878
19,19,F2,CV-1,4.17111387,0.2263
20,20,F2,CV-2,4.947159087,0.2393
21,21,F2,CV-3,0.126474794,0.2628
22,22,F2,CV-4,NA,NA
23,23,F2,PA-1,0,0.1624
24,24,F2,PA-2,NA,NA
25,25,F2,PA-3,NA,NA
26,26,F2,PA-4,1.769115428,0.17115
27,27,F3,N0,0,0.1509
28,28,F3,N25,NA,NA
29,29,F3,N50,6.168658696,0.2738
30,30,F3,N75,0,0.2151
31,31,F3,N100,NA,NA
32,32,F3,CV-1,3.880118612,0.1534
33,33,F3,CV-2,31.59693835,0.1933
34,34,F3,CV-3,0.112359578,0.1682
35,35,F3,CV-4,18.03845504,0.1645
36,36,F3,PA-1,NA,NA
37,37,F3,PA-2,0.43396306,0.1702
38,38,F3,PA-3,6.101324784,0.2319
39,39,F3,PA-4,0,0.24725
40,40,F4,N0,NA,NA
41,41,F4,N25,0,0.1995
42,42,F4,N50,0,0.2321
43,43,F4,N75,7.102783578,0.3109
44,44,F4,N100,9.795450794,0.157
45,45,F4,CV-1,0,0.3422
46,46,F4,CV-2,0,0.1092
47,47,F4,CV-3,NA,NA
48,48,F4,CV-4,0.03148841,0.1269
49,49,F4,PA-1,0.023030667,0.0994
50,50,F4,PA-2,0.346104142,0.1813
51,51,F4,PA-3,0,0.1764
52,52,F4,PA-4,0.738075868,0.257
