Site,year,month,irrigation_mm
L001,2015,4,NA
L001,2015,5,NA
L001,2015,6,NA
L001,2016,4,NA
L001,2016,5,NA
L001,2016,6,NA
L001,2017,4,NA
L001,2017,5,NA
L001,2017,6,NA
L003,2015,4,190.5
L003,2015,5,190.5
L003,2015,6,0
L003,2016,4,0
L003,2016,5,177.8
L003,2016,6,177.8
L003,2017,4,0
L003,2017,5,0
L003,2017,6,0
L005,2014,4,25.4
L005,2015,4,25.4
L005,2016,4,25.4
L007,2014,4,NA
L007,2014,5,NA
L007,2014,6,NA
L007,2014,7,NA
L007,2014,8,NA
L007,2015,4,NA
L007,2015,5,NA
L007,2015,6,NA
L007,2015,7,NA
L007,2015,8,NA
L007,2016,4,NA
L007,2016,5,NA
L007,2016,6,NA
L007,2016,7,NA
L007,2016,8,NA
L007,2017,4,NA
L007,2017,5,NA
L007,2017,6,NA
L007,2017,7,NA
L007,2017,8,NA
L009,2014,4,NA
L009,2014,5,NA
L009,2014,6,NA
L009,2014,7,NA
L009,2014,8,NA
L009,2015,4,NA
L009,2015,5,NA
L009,2015,6,NA
L009,2015,7,NA
L009,2015,8,NA
L009,2016,4,NA
L009,2016,5,NA
L009,2016,6,NA
L009,2016,7,NA
L009,2016,8,NA
L010,2014,6,NA
L010,2014,7,NA
L010,2014,8,NA
L011,2014,5,114.3
L011,2015,5,114.3
L011,2016,5,114.3
L011,2017,5,114.3
L012,2014,5,NA
L012,2014,6,NA
L012,2015,5,NA
L012,2015,6,NA
L012,2016,5,NA
L012,2016,6,NA
L012,2017,5,NA
L012,2017,6,NA
L013,2014,5,0
L013,2014,6,0
L013,2014,7,0
L013,2014,8,0
L013,2015,4,190.5
L013,2015,5,0
L014,2014,4,0
L014,2014,5,177.8
L014,2014,6,177.8
L014,2016,4,0
L014,2016,5,177.8
L014,2016,6,177.8
L014,2017,9,0
L014,2017,10,0
L014,2017,11,0
L014,2017,12,0
L016,2014,4,NA
L016,2014,5,NA
L016,2014,6,NA
L016,2014,7,NA
L016,2014,8,NA
L016,2015,4,NA
L016,2015,5,NA
L016,2015,6,NA
L016,2015,7,NA
L016,2015,8,NA
L016,2016,4,NA
L016,2016,5,NA
L016,2016,6,NA
L016,2016,7,NA
L016,2016,8,NA
L016,2017,4,NA
L016,2017,5,NA
L016,2017,6,NA
L016,2017,7,NA
L016,2017,8,NA
